index,video_id,title,channel,date,url
1,"VuqHqOAYN9Y","Allstate -  If it&#39;s important to you, it&#39;s important to us  - Coverage No Matter What :15","Samuel A. Russell V","","https://www.youtube.com/watch?v=VuqHqOAYN9Y"
2,"KurUjmBJTHM","Liquidity Tool Functionality  By Sam Russell","Samuel A. Russell V","","https://www.youtube.com/watch?v=KurUjmBJTHM"
3,"QJNA1NaFP3M","Heather Breaking The Interest Trap","Samuel A. Russell V","","https://www.youtube.com/watch?v=QJNA1NaFP3M"
4,"M4nP3DGI5fM","Ralf and Roth Conversion a conversation ","Samuel A. Russell V","","https://www.youtube.com/watch?v=M4nP3DGI5fM"
5,"ACbWSwmNnno","How Structure Beats Income -The Debt Code - By Sam Russell","Samuel A. Russell V","","https://www.youtube.com/watch?v=ACbWSwmNnno"
6,"V7NsNM7inOk","He Paid $0 In Taxes  The 5‑Year Mortgage 2026","Samuel A. Russell V","","https://www.youtube.com/watch?v=V7NsNM7inOk"
7,"n2DmbrGHnVE","Roth Conversion Family Story By Sam Russell","Samuel A. Russell V","","https://www.youtube.com/watch?v=n2DmbrGHnVE"
8,"EtS4KJNFxUs","2 &quot;Twin Doctors,&quot; 2 Dramatic Different Destinies","Samuel A. Russell V","","https://www.youtube.com/watch?v=EtS4KJNFxUs"
9,"sHS2L_kUmB0","Same Work Effort &amp; Completely Different Results","Samuel A. Russell V","","https://www.youtube.com/watch?v=sHS2L_kUmB0"
10,"8YKGkkKdObE","The Old Way VS The Smart Way","Samuel A. Russell V","","https://www.youtube.com/watch?v=8YKGkkKdObE"
11,"13uhHKx0VO8","At age 65 Dr. Johns Networth is $13M, Doctor Patel&#39;s Networth is over $150M+ Networth. Same income.","Samuel A. Russell V","","https://www.youtube.com/watch?v=13uhHKx0VO8"
12,"F7e8gZO3nx0","Introducing Medical Doctors to www.RussellCapitalSystems.com","Samuel A. Russell V","","https://www.youtube.com/watch?v=F7e8gZO3nx0"
13,"uQq0hH2Yitg","248 Brains Working To Make You Richer - Safer","Samuel A. Russell V","","https://www.youtube.com/watch?v=uQq0hH2Yitg"
14,"KvGgaYzV7sM","April 12, 2026","Samuel A. Russell V","","https://www.youtube.com/watch?v=KvGgaYzV7sM"
15,"LBzn-ZZQLXY","2 Doctors Same Salary, Same Savings, Massive Different Results","Samuel A. Russell V","","https://www.youtube.com/watch?v=LBzn-ZZQLXY"
16,"Vhk5dAQx0vE","Engineer Retirement Planning - By BA","Samuel A. Russell V","","https://www.youtube.com/watch?v=Vhk5dAQx0vE"
17,"GC_UK1Ab6Og","Russell Capital Solutions 57 FinTech Pending Patents with USPTO","Dan Martell","","https://www.youtube.com/watch?v=GC_UK1Ab6Og"
18,"2oMQayYL6wQ","GJVBGJVBQ70H | V-Series Convoy","Samuel A. Russell V","","https://www.youtube.com/watch?v=2oMQayYL6wQ"
19,"8yt5yzwJQko","99% of People Have No Idea What’s About to Happen With AI","Samuel A. Russell V","","https://www.youtube.com/watch?v=8yt5yzwJQko"
20,"KvGgaYzV7sM","April 12, 2026","Dan Martell","","https://www.youtube.com/watch?v=KvGgaYzV7sM"
21,"v_luuxLF1Lc","Picanti Video 16x9 Leslie Text c 27 08 25 GUI 1V A3","Lei&#39;s Real Talk","","https://www.youtube.com/watch?v=v_luuxLF1Lc"
22,"Vhk5dAQx0vE","Engineer Retirement Planning - By BA","Dan Martell","","https://www.youtube.com/watch?v=Vhk5dAQx0vE"
23,"8yt5yzwJQko","99% of People Have No Idea What’s About to Happen With AI","Dan Martell","","https://www.youtube.com/watch?v=8yt5yzwJQko"
24,"EdoF2Fvk41Q","When Jobs, Banks, and Wages All Shift at Once: China’s Economic Reality","Dan Martell","","https://www.youtube.com/watch?v=EdoF2Fvk41Q"
25,"FEex8E1yDj4","I Tried 500+ AI Tools, These 20 Will Make You $1M (With Zero Code)","Dan Martell","","https://www.youtube.com/watch?v=FEex8E1yDj4"
26,"0pStigyl674","This Video Will Make You Dangerously Smart With AI","Dan Martell","","https://www.youtube.com/watch?v=0pStigyl674"
27,"9w0INwjTYdU","How to Make Time For Everything (Seriously, everything)","Samuel A. Russell V","","https://www.youtube.com/watch?v=9w0INwjTYdU"
28,"GTtDEm7Ak8c","The Only Skill You Need to Make Money in 2026","Samuel A. Russell V","","https://www.youtube.com/watch?v=GTtDEm7Ak8c"
29,"eYyWFJpVBBI","This is Your Last Chance to Get Rich (Before AI Replaces You)","Samuel A. Russell V","","https://www.youtube.com/watch?v=eYyWFJpVBBI"
30,"H4cGDLMhU0w","Meet the best AI for managing projects","Samuel A. Russell V","","https://www.youtube.com/watch?v=H4cGDLMhU0w"
31,"ZRW96RAvHwo","Reduce Survey Crew Use | HCSS Plans","Samuel A. Russell V","","https://www.youtube.com/watch?v=ZRW96RAvHwo"
32,"eThwi_qK2dw","Heather Lives Faith over Fear","Dan Martell","","https://www.youtube.com/watch?v=eThwi_qK2dw"
33,"Vhk5dAQx0vE","Engineer Retirement Planning - By BA","Samuel A. Russell V","","https://www.youtube.com/watch?v=Vhk5dAQx0vE"
34,"KKTJ0sak_G4","Power vs Force","Lei&#39;s Real Talk","","https://www.youtube.com/watch?v=KKTJ0sak_G4"
35,"MjKd9lzQ1ek","Let Your Time Work For You than Against You","The White House","","https://www.youtube.com/watch?v=MjKd9lzQ1ek"
36,"LBzn-ZZQLXY","2 Doctors Same Salary, Same Savings, Massive Different Results","Asmongold TV  ","","https://www.youtube.com/watch?v=LBzn-ZZQLXY"
37,"2Cll-lD2Z0o","Imagine Making V1 - Disclaimer","Nick Ponte","","https://www.youtube.com/watch?v=2Cll-lD2Z0o"
38,"fhDAvX6StTg","1 long video, 10 viral clips. Create 10x faster. #OpusClip","Nick Ponte","","https://www.youtube.com/watch?v=fhDAvX6StTg"
39,"9w0INwjTYdU","How to Make Time For Everything (Seriously, everything)","The Iced Coffee Hour Clips","","https://www.youtube.com/watch?v=9w0INwjTYdU"
40,"M4nP3DGI5fM","Ralf and Roth Conversion a conversation ","Marketing Against the Grain","","https://www.youtube.com/watch?v=M4nP3DGI5fM"
