token,count,file_count,category
#7a95b8,5811,112,Other Hardcoded Token
#12233e,5681,115,Legacy Surface / Neutral
#22c55e,2563,149,Finance Positive / Legacy Green
#3b82f6,1719,161,Other Hardcoded Token
#c8d8ec,1603,87,Other Hardcoded Token
#0d1a2e,1342,75,Other Hardcoded Token
text-emerald-400,1029,133,Finance Positive / Legacy Green
#060d19,997,50,Other Hardcoded Token
text-red-400,914,165,Semantic Status / Warning
text-amber-400,831,135,Semantic Status / Warning
text-blue-400,799,145,Informational Accent
text-slate-400,745,49,Legacy Surface / Neutral
#f0c040,741,86,Other Hardcoded Token
#ef4444,642,140,Other Hardcoded Token
border-slate-700,578,30,Legacy Surface / Neutral
bg-emerald-500,444,117,Finance Positive / Legacy Green
#f59e0b,441,109,Other Hardcoded Token
bg-slate-800,440,31,Legacy Surface / Neutral
border-emerald-500,416,114,Finance Positive / Legacy Green
#fff,412,92,Other Hardcoded Token
text-green-400,411,66,Finance Positive / Legacy Green
bg-blue-500,393,119,Informational Accent
text-slate-300,392,38,Legacy Surface / Neutral
bg-red-500,388,130,Semantic Status / Warning
text-gray-400,388,40,Legacy Surface / Neutral
border-blue-500,355,109,Informational Accent
#1e3a5f,350,23,Legacy Surface / Neutral
bg-amber-500,344,115,Semantic Status / Warning
border-amber-500,341,114,Semantic Status / Warning
text-purple-400,339,105,Scoped Purple System
#0b1628,307,47,Legacy Surface / Neutral
bg-slate-900,306,28,Legacy Surface / Neutral
text-slate-500,300,37,Legacy Surface / Neutral
#8b5cf6,286,93,Scoped Purple System
#10b981,277,63,Finance Positive / Legacy Green
border-red-500,270,105,Semantic Status / Warning
border-slate-800,255,19,Legacy Surface / Neutral
#1e293b,251,38,Legacy Surface / Neutral
text-gray-500,239,17,Legacy Surface / Neutral
#94a3b8,218,36,Other Hardcoded Token
#0a1628,184,26,Other Hardcoded Token
#0f1e35,181,17,Legacy Surface / Neutral
#334155,162,29,Legacy Surface / Neutral
bg-green-500,161,54,Finance Positive / Legacy Green
#a855f7,154,46,Scoped Purple System
text-green-600,152,15,Finance Positive / Legacy Green
#64748b,149,27,Other Hardcoded Token
#1a3050,145,9,Other Hardcoded Token
text-red-500,145,42,Semantic Status / Warning
#1a3055,143,20,Other Hardcoded Token
border-gray-700,142,12,Legacy Surface / Neutral
text-yellow-400,142,45,Semantic Status / Warning
text-amber-600,138,21,Semantic Status / Warning
bg-purple-500,136,69,Scoped Purple System
border-purple-500,136,60,Scoped Purple System
text-cyan-400,136,48,Informational Accent
text-amber-300,135,42,Semantic Status / Warning
text-emerald-500,132,30,Finance Positive / Legacy Green
#a78bfa,130,40,Other Hardcoded Token
#8884d8,124,45,Other Hardcoded Token
#ec4899,124,81,Other Hardcoded Token
text-red-300,122,44,Semantic Status / Warning
#0f172a,119,24,Legacy Surface / Neutral
text-blue-300,119,41,Informational Accent
text-gray-300,117,26,Legacy Surface / Neutral
text-slate-200,116,19,Legacy Surface / Neutral
bg-blue-600,115,32,Informational Accent
text-zinc-400,114,18,Legacy Surface / Neutral
#1a3a5c,113,2,Other Hardcoded Token
text-violet-400,112,26,Scoped Purple System
text-blue-600,110,16,Informational Accent
#1a2e4c,108,6,Other Hardcoded Token
text-emerald-300,108,37,Finance Positive / Legacy Green
text-orange-400,107,45,Semantic Status / Warning
#0a1424,106,15,Other Hardcoded Token
text-amber-500,106,34,Semantic Status / Warning
border-green-500,105,41,Finance Positive / Legacy Green
text-blue-500,105,36,Informational Accent
border-zinc-700,103,17,Legacy Surface / Neutral
bg-gray-800,99,13,Legacy Surface / Neutral
from-amber-500,93,44,Semantic Status / Warning
#0a1526,90,6,Other Hardcoded Token
bg-emerald-600,90,45,Finance Positive / Legacy Green
text-zinc-500,90,16,Legacy Surface / Neutral
bg-slate-700,88,19,Legacy Surface / Neutral
#06b6d4,86,52,Other Hardcoded Token
#f97316,83,56,Other Hardcoded Token
text-zinc-300,81,16,Legacy Surface / Neutral
bg-violet-500,80,28,Scoped Purple System
#888,79,10,Other Hardcoded Token
#0a1120,77,4,Other Hardcoded Token
from-emerald-500,77,50,Finance Positive / Legacy Green
#333,75,10,Other Hardcoded Token
#14b8a6,74,44,Finance Positive / Legacy Green
text-emerald-600,73,9,Finance Positive / Legacy Green
text-green-500,73,24,Finance Positive / Legacy Green
text-red-600,70,16,Semantic Status / Warning
bg-zinc-800,69,16,Legacy Surface / Neutral
bg-zinc-900,69,12,Legacy Surface / Neutral
bg-gray-700,67,10,Legacy Surface / Neutral
bg-yellow-500,63,32,Semantic Status / Warning
border-violet-500,59,20,Scoped Purple System
border-cyan-500,55,29,Informational Accent
text-violet-300,55,23,Scoped Purple System
border-zinc-800,54,5,Legacy Surface / Neutral
