id,priority,category,question,why_it_matters,required_output,acceptance_criteria,status
Q-01,P0,Provider verification,"For each of the 39 named providers in shared/mechanismDossiers.ts plus Roc Capital: what are the current published rate range, term options, minimum and maximum loan amounts, eligibility requirements, states served, and verified phone number?","39 providers are named on live pages from general knowledge. Nothing may publish a rate, term or phone number without a dated primary source. This is the single highest-value research job on the list.","JSON array per the schema in docs/PROVIDER_VERIFICATION_BRIEF.md section 8","Every field carries sourceUrl and asOf. Any field not found on the provider's own site is null with a reason, never inferred from a comparison site.",open
Q-02,P0,Equity share eligibility,"At Point, Hometap, Unison, Unlock and Splitero: does each permit a non-owner-occupied investment property, and does each consent to a subordinate lien behind their position?","The sequence planner marks a rental equity share unavailable until a provider's own page says otherwise. This single fact changes the legal option space for every portfolio owner on the platform.","One row per provider: {provider, investmentPropertyAllowed: true|false|null, subordinateLienConsent: true|false|null, sourceUrl, quotedText, asOf}","Answer must come from the provider's own page or program guide, with the sentence quoted. A third-party summary is not acceptable evidence.",open
Q-03,P0,AG 49-A illustrated rates,"For each indexed universal life product the platform illustrates, what is the carrier's current AG 49-A maximum illustrated rate, and what is its effective date?","The mortgage engine defaults to a 7.5% crediting rate while the illustrated product's actual cap is 6.35%. Illustrating above a product's maximum illustrated rate is a compliance problem, not a modelling preference. Resolves defect 3 in the executive summary.","{carrier, productName, maxIllustratedRate, illustratedRate, allocationPct, disclosureUrl, effectiveDate}","Figure must come from the carrier's own illustration or disclosure document. Where a carrier does not publish it, return not_published with a note — that is a real finding and means the product cannot be illustrated until the carrier supplies it.",open
Q-04,P1,Security deposit statutes,"For all 50 states plus DC: what is the security deposit cap in months of rent, the return deadline in days, whether interest must be paid to the tenant and at what rate, and whether a separate account is required?","The owner asked for 36 years of security deposit history. No such time series exists — deposits are statute, not a measured series. A rules table is the correct answer to the question he actually asked.","{state, capMonths, capNote, returnDeadlineDays, interestRequired, interestRate, separateAccountRequired, statuteCitation, sourceUrl, asOf, notes}","Every field verified against primary statute text, not a summary site, landlord blog, or memory. Unverifiable fields are null with the reason in notes.",open
Q-05,P1,Lender seasoning,"Do Kiavi and Griffin Funding require 90-day title seasoning before a cash-out refinance, and what do their own pages say?","Currently supported only by market comparison sites at low evidence strength. The threshold sets numbers in the sequence planner.","{lender, seasoningDays, sourceUrl, quotedText, asOf} or an explicit not_found","Confirmed on the lender's own page, or left marked unverified. Do not upgrade a comparison-site claim to verified.",open
Q-06,P1,Data availability check,"Does any public United States dataset report residential rent broken out by bathroom count — federal, state, metropolitan planning organisation, or university housing survey?","Claude's finding is that none exists: HUD FMR, HUD SAFMR, Census ACS and Zillow all report by bedroom count only. The platform currently returns null with that reason. An independent check either confirms the honest null or unlocks a real series.","Either {source, url, geography, coverageWindow, granularity} for a real series, or an explicit negative finding stating what was searched","A negative answer is a useful answer. State plainly if none exists rather than offering a proxy.",open
Q-07,P1,AHS table identifiers,"What are the current Census American Housing Survey table identifiers and download URLs for 'year householder moved into unit', across the 1985 to 2025 biennial series, and are metropolitan-level files available for all years or only selected ones?","Tenant length of stay was requested. The data exists and the adapter is straightforward; the table identifiers and URLs are the missing piece.","{year, tableId, url, geography, notes} per available year","URLs resolve to the actual Census file. Note any year where the metropolitan breakout is unavailable.",open
Q-08,P2,Account aggregation vendors,"Compare Plaid, MX and Yodlee for an insurance-licensed advisory platform: pricing tiers, institution coverage, data refresh behaviour, consent and custody requirements, and compliance obligations.","Every projection currently runs from typed inputs. This is the largest functional gap against JP Morgan and Edward Jones, and it is a product and compliance decision before it is a coding one.","Comparison table with a sourced citation per cell, plus a short note on which fits a platform that is insurance-licensed rather than a registered investment advisor","Pricing and compliance claims cite the vendor's own documentation or a regulator, with dates.",open
Q-09,P2,Index series verification,"What are the correct S&P 500 annual PRICE return figures for 1957 through 2025, and how do they differ from total return in each year?","shared/ibbotsonModel.ts holds total-return values (2008 as -0.3700, 2009 as 0.2646) where index crediting requires price return (-38.49%, +23.45%). Resolves defect 4 in the executive summary.","{year, priceReturn, totalReturn, source}","Cited to S&P Dow Jones Indices or an equivalent primary publisher, not a blog or a secondary aggregator.",open
Q-10,P3,Provisional patent process,"What is the current USPTO provisional patent application fee schedule for a micro entity and small entity, what must a provisional contain to establish priority, and what is the timeline to convert to non-provisional?","57 patent claims are drafted and zero are filed. Until one is filed, no surface may say 'patent pending' — a test enforces this. This is the cheapest honest route to the claim the owner wants to make.","Fee table with citation, required contents checklist, and the conversion deadline","Cited to uspto.gov directly. Note explicitly that this is procedural information, not legal advice, and that counsel should file.",open
