"url","what","evidence_1_to_10","used_by","kind"
"https://dscrauthority.com/invest/brrrr-and-dscr-strategy/","Standard figure for Ownership seasoning before cash-out at appraised value (6 months)","7","shared/thresholds.ts#dscr-seasoning","threshold-standard"
"https://selling-guide.fanniemae.com/sel/b2-1.3-03/cash-out-refinance-transactions","Delayed financing exception: 0 months — Fannie Mae Selling Guide B2-1.3-03, through any conforming lender","10","shared/thresholds.ts#dscr-seasoning","threshold-variant"
"https://www.crowdfundedwealth.com/articles/best-dscr-loan-lender-2026","90-day seasoning program: 3 months — Reported at Kiavi and Griffin Funding on selected programs","5","shared/thresholds.ts#dscr-seasoning","threshold-variant"
"https://dscrauthority.com/loan-types/cash-out-refinance/","Standard figure for Maximum cash-out loan-to-value (75 percent)","7","shared/thresholds.ts#dscr-cashout-ltv","threshold-standard"
"https://www.selecthomeloans.com/best-dscr-lenders-in-illinois-rental-property-loans-2026-guide/","80% cash-out on strong files: 80 percent — Selected programs at Kiavi, Lima One and Visio, per market comparisons","5","shared/thresholds.ts#dscr-cashout-ltv","threshold-variant"
"https://mbanc.com/blog/dscr-cash-out-refinance/","70% on higher-risk files: 70 percent — Common floor across DSCR lenders for weaker credit, no-ratio, or short-term rental files","6","shared/thresholds.ts#dscr-cashout-ltv","threshold-variant"
"https://dscrauthority.com/tools/cash-out-refi-calculator/","Standard figure for Minimum debt service coverage ratio (1 ratio)","7","shared/thresholds.ts#dscr-coverage","threshold-standard"
"https://dscrauthority.com/loan-types/cash-out-refinance/","Sub-1.0 and no-ratio programs: 0.75 ratio — Reported at Griffin Funding and some Angel Oak programs","5","shared/thresholds.ts#dscr-coverage","threshold-variant"
"https://roccapital.com/wp-content/uploads/2022/07/Roc-Capital-Rental-Portfolio-TearSheet-072222.pdf","Portfolio in-place DSCR at 1.00: 1 ratio — Roc Capital rental portfolio, loans up to $2M and 10 properties","8","shared/thresholds.ts#dscr-coverage","threshold-variant"
"https://www.selltohomepros.com/blog/dscr-loans-for-real-estate-investors-2026-underwriting-guide","Standard figure for Conventional financed-property limit per borrower (10 count)","7","shared/thresholds.ts#financed-property-cap","threshold-standard"
"https://roccapital.com/rental-portfolios/","Portfolio / blanket DSCR loan: 999 count — CoreVest (5+), Lima One (5+), Visio Rental360 Portfolio+ (4+), Kiavi (2+), Roc Capital","7","shared/thresholds.ts#financed-property-cap","threshold-variant"
"https://www.selltohomepros.com/blog/dscr-loans-for-real-estate-investors-2026-underwriting-guide","Entity borrower: 999 count — DSCR and portfolio lenders lending to an LLC with a personal guaranty","6","shared/thresholds.ts#financed-property-cap","threshold-variant"
"https://roccapital.com/rental-portfolios/","Standard figure for Partial release from a blanket loan (0 percent)","7","shared/thresholds.ts#portfolio-partial-release","threshold-standard"
"https://lendingstreet.io/best-blanket-portfolio-loan-lenders.html","Negotiated release schedule: 100 percent — Any portfolio lender, at the borrower's insistence before closing","7","shared/thresholds.ts#portfolio-partial-release","threshold-variant"
"https://www.law.cornell.edu/uscode/text/12/1701j-3","Standard figure for Due-on-sale exposure on a wraparound (5 years)","7","shared/thresholds.ts#due-on-sale-exposure","threshold-standard"
"https://www.law.cornell.edu/uscode/text/12/1701j-3","Refinance out within the seasoning window: 1 years — The buyer, by DSCR-refinancing the property and retiring the wrap","9","shared/thresholds.ts#due-on-sale-exposure","threshold-variant"
"https://www.law.cornell.edu/uscode/text/12/1701j-3","Formal assumption with lender consent: 0 years — The underlying lender, on request, at its discretion","8","shared/thresholds.ts#due-on-sale-exposure","threshold-variant"
"https://www.law.cornell.edu/uscode/text/12/1701j-3","Lease of three years or less with no option: 0 years — Statutory exemption, 12 U.S.C. § 1701j-3(d)(4)","10","shared/thresholds.ts#due-on-sale-exposure","threshold-variant"
"https://www.law.cornell.edu/cfr/text/12/191.5","Why Due-on-sale exposure on a wraparound is fixed: 12 U.S.C. § 1701j-3(d); 12 CFR § 191.5(b)","10","shared/thresholds.ts#due-on-sale-exposure","statute-or-contract"
"https://paperstac.com","Standard figure for Payment seasoning before a note is saleable at a sane discount (12 months)","7","shared/thresholds.ts#note-seasoning-for-sale","threshold-standard"
"https://seascapecapital.com","Partial sale of the payment stream: 6 months — Note buyers offering partials, e.g. Seascape Capital, Amerinote Xchange","6","shared/thresholds.ts#note-seasoning-for-sale","threshold-variant"
"https://help.point.com/article/580-what-is-combined-loan-to-value-cltv-and-how-does-point-use-it","Standard figure for Subordinate financing after the agreement (0 count)","7","shared/thresholds.ts#hei-no-further-encumbrance","threshold-standard"
"https://help.point.com/article/580-what-is-combined-loan-to-value-cltv-and-how-does-point-use-it","Open the line FIRST, then take the agreement behind it: 1 count — Any provider that underwrites on combined LTV and accepts a subordinate position","6","shared/thresholds.ts#hei-no-further-encumbrance","threshold-variant"
"https://www.law.cornell.edu/cfr/text/12/191.5","A different property: 999 count — Arithmetic","10","shared/thresholds.ts#hei-no-further-encumbrance","threshold-variant"
"https://help.point.com/article/637-what-are-the-options-at-the-end-of-my-term","Why Subordinate financing after the agreement is fixed: Provider agreement; Point help centre on CLTV and end-of-term options","10","shared/thresholds.ts#hei-no-further-encumbrance","statute-or-contract"
"https://help.point.com/article/637-what-are-the-options-at-the-end-of-my-term","Standard figure for Term before mandatory settlement (10 years)","7","shared/thresholds.ts#hei-term","threshold-standard"
"https://help.point.com/article/637-what-are-the-options-at-the-end-of-my-term","30-year term: 30 years — Point, on most current agreements (some specify 10)","8","shared/thresholds.ts#hei-term","threshold-variant"
"https://point.com/","Early buy-back: 0 years — Point states the equity can be bought back at any time; others vary","8","shared/thresholds.ts#hei-term","threshold-variant"
"https://help.point.com/collection/166-frequently-asked-questions-faqs","Standard figure for Investment property eligibility (0 count)","7","shared/thresholds.ts#hei-investment-property","threshold-standard"
"https://help.point.com/collection/166-frequently-asked-questions-faqs","Why Investment property eligibility is fixed: Provider eligibility pages, read 2026-09-18","10","shared/thresholds.ts#hei-investment-property","statute-or-contract"
"https://www.lifecreditcompany.com/blog/whole-life-insurance-loan","Standard figure for Maximum loan as a share of cash value (90 percent)","7","shared/thresholds.ts#policy-loan-value","threshold-standard"
"https://gateway.pennmutual.com/static-assets/files/products/life/pm9192.pdf","Non-direct recognition contract: 95 percent — Commonly reported at MassMutual and New York Life; varies by policy series","6","shared/thresholds.ts#policy-loan-value","threshold-variant"
"https://gateway.pennmutual.com/static-assets/files/products/life/pm9192.pdf","Preferred / wash loan after year 10: 95 percent — Penn Mutual preferred-loan provision, year 11 onward, in years dividends are paid","8","shared/thresholds.ts#policy-loan-value","threshold-variant"
"https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title26-section7702A&num=0&edition=prelim","Standard figure for Seven-pay funding limit before MEC status (7 years)","7","shared/thresholds.ts#seven-pay","threshold-standard"
"https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title26-section7702A&num=0&edition=prelim","Why Seven-pay funding limit before MEC status is fixed: IRC § 7702A","10","shared/thresholds.ts#seven-pay","statute-or-contract"
"https://betterwealth.com/blogs/best-whole-life-for-cash-value","Standard figure for Years before the pool is worth borrowing against (10 years)","7","shared/thresholds.ts#policy-ramp","threshold-standard"
"https://betterwealth.com/blogs/whole-life-insurance-policy-loans","Maximum-funded with paid-up additions: 5 years — Any mutual carrier, when the agent designs for it","6","shared/thresholds.ts#policy-ramp","threshold-variant"
"https://point.com/blog/requirements-for-helocs","Standard figure for Maximum combined loan-to-value on a home equity line (80 percent)","7","shared/thresholds.ts#heloc-cltv","threshold-standard"
"https://www.cmgfi.com","First-lien HELOC replacing the mortgage: 90 percent — CMG All In One Loan and similar first-position lines","7","shared/thresholds.ts#heloc-cltv","threshold-variant"
"https://www.massmutual.com","MassMutual — Mutual carrier; participating whole life with paid-up-additions riders.","6","shared/mechanismDossiers.ts#policy-loan","provider-homepage"
"https://www.newyorklife.com","New York Life — Mutual carrier; participating whole life, custom whole life designs.","6","shared/mechanismDossiers.ts#policy-loan","provider-homepage"
"https://www.northwesternmutual.com","Northwestern Mutual — Mutual carrier; participating whole life.","6","shared/mechanismDossiers.ts#policy-loan","provider-homepage"
"https://www.guardianlife.com","Guardian Life — Mutual carrier; whole life with paid-up-additions riders.","6","shared/mechanismDossiers.ts#policy-loan","provider-homepage"
"https://www.pennmutual.com","Penn Mutual — Mutual carrier; whole life and accumulation-oriented designs.","6","shared/mechanismDossiers.ts#policy-loan","provider-homepage"
"https://www.lafayettelife.com","Lafayette Life — Western & Southern member; whole life often used for accumulation designs.","6","shared/mechanismDossiers.ts#policy-loan","provider-homepage"
"https://www.ameritas.com","Ameritas — Mutual holding company structure; permanent life products.","6","shared/mechanismDossiers.ts#policy-loan","provider-homepage"
"https://www.foresters.com","Foresters Financial — Fraternal benefit society; whole life, including simplified-issue designs.","6","shared/mechanismDossiers.ts#policy-loan","provider-homepage"
"https://www.cmgfi.com","CMG Financial (All In One Loan) — First-lien home equity line that functions as a combined mortgage and sweep account — the product this mechanism describes, sold as one thing.","6","shared/mechanismDossiers.ts#velocity-heloc","provider-homepage"
"https://www.figure.com","Figure — Digital HELOC originator with a fast, largely automated process.","6","shared/mechanismDossiers.ts#velocity-heloc","provider-homepage"
"https://www.aven.com","Aven — Home-equity-backed credit card, which removes the friction of drawing funds back out.","6","shared/mechanismDossiers.ts#velocity-heloc","provider-homepage"
"https://www.thirdfederal.com","Third Federal Savings & Loan — Thrift with a long-standing home equity line programme.","6","shared/mechanismDossiers.ts#velocity-heloc","provider-homepage"
"https://www.penfed.org","PenFed Credit Union — Credit union home equity lines, open to members.","6","shared/mechanismDossiers.ts#velocity-heloc","provider-homepage"
"https://www.bethpagefcu.com","Bethpage Federal Credit Union — Credit union home equity lines with fixed-rate conversion options.","6","shared/mechanismDossiers.ts#velocity-heloc","provider-homepage"
"https://www.springeq.com","Spring EQ — Home equity lender, including second-lien products.","6","shared/mechanismDossiers.ts#velocity-heloc","provider-homepage"
"https://www.rocketmortgage.com","Rocket Mortgage — Large originator offering home equity products alongside first mortgages.","6","shared/mechanismDossiers.ts#velocity-heloc","provider-homepage"
"https://www.kiavi.com","Kiavi — Bridge and DSCR rental loans for residential investors, at scale.","6","shared/mechanismDossiers.ts#brrrr-dscr","provider-homepage"
"https://www.limaone.com","Lima One Capital — Fix-and-flip, bridge and rental lending for investors.","6","shared/mechanismDossiers.ts#brrrr-dscr","provider-homepage"
"https://www.visiolending.com","Visio Lending — DSCR specialist for long-term and short-term rental property, plus portfolio loans.","6","shared/mechanismDossiers.ts#brrrr-dscr","provider-homepage"
"https://www.ternus.com","Ternus Lending — Long-term rental loans on 1–4 unit residential investment property, underwritten on DSCR.","6","shared/mechanismDossiers.ts#brrrr-dscr","provider-homepage"
"https://www.corevestfinance.com","CoreVest Finance — Single-family rental portfolio and bridge lending, typically at larger scale.","6","shared/mechanismDossiers.ts#brrrr-dscr","provider-homepage"
"https://angeloakms.com","Angel Oak Mortgage Solutions — Non-QM lender including DSCR investor products.","6","shared/mechanismDossiers.ts#brrrr-dscr","provider-homepage"
"https://www.easystreetcap.com","Easy Street Capital — Private lender offering bridge and DSCR rental loans.","6","shared/mechanismDossiers.ts#brrrr-dscr","provider-homepage"
"https://newsilver.com","New Silver — Technology-led lender for fix-and-flip and rental investors.","6","shared/mechanismDossiers.ts#brrrr-dscr","provider-homepage"
"https://griffinfunding.com","Griffin Funding — DSCR and non-QM lending for investment property.","6","shared/mechanismDossiers.ts#brrrr-dscr","provider-homepage"
"https://www.templeviewcap.com","Temple View Capital — Private lender for residential investment, including bridge and rental.","6","shared/mechanismDossiers.ts#brrrr-dscr","provider-homepage"
"https://point.com","Point — Home equity investment: cash for a share of the home's future value.","6","shared/mechanismDossiers.ts#equity-share","provider-homepage"
"https://www.hometap.com","Hometap — Home equity investment on primary residences, ten-year term.","6","shared/mechanismDossiers.ts#equity-share","provider-homepage"
"https://www.unison.com","Unison — Home equity sharing agreements, long-established in this category.","6","shared/mechanismDossiers.ts#equity-share","provider-homepage"
"https://www.unlock.com","Unlock — Home equity agreements with partial buy-back options.","6","shared/mechanismDossiers.ts#equity-share","provider-homepage"
"https://splitero.com","Splitero — Home equity investments, concentrated in western US states.","6","shared/mechanismDossiers.ts#equity-share","provider-homepage"
"https://www.truehold.com","Truehold — Sale-leaseback rather than equity share — you sell and remain as a tenant. A different instrument for a similar problem.","6","shared/mechanismDossiers.ts#equity-share","provider-homepage"
"https://www.trustfci.com","FCI Lender Services — Third-party loan servicing for private and seller-carried notes, including wraps.","6","shared/mechanismDossiers.ts#seller-wrap","provider-homepage"
"https://www.madisonmanagement.net","Madison Management Services — Servicing for private notes and seller financing.","6","shared/mechanismDossiers.ts#seller-wrap","provider-homepage"
"https://www.noteservicingcenter.com","Note Servicing Center — Servicing for privately held real estate notes.","6","shared/mechanismDossiers.ts#seller-wrap","provider-homepage"
"https://www.deltoroloanservicing.com","Del Toro Loan Servicing — Private money and seller-carry loan servicing.","6","shared/mechanismDossiers.ts#seller-wrap","provider-homepage"
"https://paperstac.com","Paperstac — Marketplace for buying and selling mortgage notes, with the transaction handled on-platform.","6","shared/mechanismDossiers.ts#seller-wrap","provider-homepage"
"https://www.amerinotexchange.com","Amerinote Xchange — Buyer of performing seller-financed real estate notes.","6","shared/mechanismDossiers.ts#seller-wrap","provider-homepage"
