component,route,plan_score,plan_verdict,plan_layer,plan_role,plan_parent,plan_tier,my_value,my_built,my_disposition,my_hub,defective,flags,plan_enhance,my_upgrade
BusinessOwnerPlanning,/portal/business-owner,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Business Owner / Entity,6.6,8.0,EMBED — accordion section,Business & Succession,False,literal-chart-data,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
PracticeWealthSync,/portal/practice-sync,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Business Owner / Entity,1.8,2.2,UPGRADE or fold into library,"Admin, Ops & System",False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
SuccessionPlanningWizard,/portal/succession-planning,10.0,KEEP-L1,L1 — Platform,PARENT,—,Business Owner / Entity,7.6,8.0,EMBED — named tab,"Estate, Trust & Legacy",False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
AISlideGenerator,/portal/ai-slides,10.0,KEEP-L1,L1 — Platform,TOGGLE,SeminarGenerator,Client Sales Tool,6.7,7.1,EMBED — accordion section,Advisor Practice & Sales Enablement,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
AiStrategyRecommender,/portal/ai-recommender,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Client Sales Tool,6.5,8.1,EMBED — accordion section,AI Brain & Intelligence,False,fabricated-constant,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
BatchIllustration,/portal/batch-illustration,10.0,KEEP-L1,L1 — Platform,TOGGLE,IllustrationCompare,Client Sales Tool,7.0,7.4,EMBED — named tab,IUL & Policy Engineering,False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
BatchSlides,/portal/batch-slides,10.0,KEEP-L1,L1 — Platform,TOGGLE,SeminarGenerator,Client Sales Tool,8.0,8.4,EMBED — named tab,Advisor Practice & Sales Enablement,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
CarrierComparison,/portal/carrier-comparison,10.0,KEEP-L1,L1 — Platform,TOGGLE,IllustrationCompare,Client Sales Tool,5.4,7.3,EMBED — accordion section,"Insurance, Annuity & Carrier",True,frozen-chart,To 10: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
CarrierQuotes,/portal/quotes,10.0,KEEP-L1,L1 — Platform,TOGGLE,IllustrationCompare,Client Sales Tool,7.0,7.4,EMBED — named tab,"Insurance, Annuity & Carrier",False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it"
ClientComparison,/portal/client-comparison,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Client Sales Tool,5.6,7.2,EMBED — accordion section,Mortgage & Debt Elimination,False,fabricated-constant,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it"
ClientIntakeInterview,/portal/client-intake,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Client Sales Tool,4.0,5.9,EMBED — reference card,Mortgage & Debt Elimination,True,frozen-chart,To 10: tie the output explicitly to an IUL solution.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
IllustrationCompare,/portal/illustration-compare,10.0,KEEP-L1,L1 — Platform,PARENT,—,Client Sales Tool,8.0,8.4,EMBED — named tab,IUL & Policy Engineering,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
IndexStrategyComparison,/portal/index-strategies,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Client Sales Tool,7.2,8.6,EMBED — named tab,Investments & Portfolio,False,literal-chart-data,To 10: add a discovery question to open the conversation.,"register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
MySlides,/portal/my-slides,10.0,KEEP-L1,L1 — Platform,TOGGLE,SeminarGenerator,Client Sales Tool,4.8,6.7,EMBED — reference card,Advisor Practice & Sales Enablement,True,frozen-chart,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
PresentationBuilder,/portal/presentation-builder,10.0,KEEP-L1,L1 — Platform,TOGGLE,SeminarGenerator,Client Sales Tool,7.1,7.5,EMBED — named tab,Advisor Practice & Sales Enablement,False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it"
QuickQuote,/portal/quick-quote,10.0,KEEP-L1,L1 — Platform,TOGGLE,IllustrationCompare,Client Sales Tool,6.4,8.3,EMBED — accordion section,"Insurance, Annuity & Carrier",True,frozen-chart,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
Recommendations,/portal/recommendations,10.0,KEEP-L1,L1 — Platform,STANDALONE,—,Client Sales Tool,5.3,5.7,EMBED — accordion section,AI Brain & Intelligence,False,,To 10: add a discovery question to open the conversation.,"add a tRPC procedure so scenarios save against the client record ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
SalesStoryBuilder,/portal/sales-story,10.0,KEEP-L1,L1 — Platform,PARENT,—,Client Sales Tool,6.6,7.0,EMBED — accordion section,Advisor Practice & Sales Enablement,False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
