Subject,Tool Name,GitHub URL,Stars,Quality Tier,Description,Category,User Request,Install Command,Error
Terminal file manager with vim keybindings (like ranger or lf),,,,,,,,,too many main events since last plan advance
Static site generator for blogs and documentation (like Hugo),hugo,https://github.com/gohugoio/hugo,88.7k,Legendary,The world's fastest framework for building websites.,Static Site Generator,"I need to build a fast, flexible static website or blog using Markdown and Go templates.",brew install hugo,
Command-line JSON processor and query tool (like jq),jq,https://github.com/jqlang/jq,35.0k,Excellent,Command-line JSON processor,Data Processing,"\""I need to extract specific fields from a large JSON API response and format them as a CSV file.\""",sudo apt-get install jq,
Terminal multiplexer modern alternative to tmux (like Zellij),zellij,https://github.com/zellij-org/zellij,33.9k,Excellent,"A modern terminal workspace and multiplexer with built-in layouts, mouse support, and WebAssembly plugins.",Terminal Multiplexer,"\""I need a modern terminal multiplexer with built-in layouts and mouse support to replace tmux\""",cargo install --locked zellij,
Git history visualization and interactive rebase tool (like lazygit),lazygit,https://github.com/jesseduffield/lazygit,79.7k,Legendary,Simple terminal UI for git commands that makes visualizing history and interactive rebasing fast and intuitive,Git Tools,"\""I need a terminal tool to easily visualize my git commit history and perform interactive rebases without memorizing complex git commands\""",brew install lazygit,
HTTP client for API testing from terminal (like httpie),cli,https://github.com/httpie/cli,38.2k,Excellent,"Modern, user-friendly command-line HTTP client for the API era with JSON support, colors, and sessions",API Testing,I need to test my REST API endpoints from the terminal with syntax highlighting and easy JSON support,pip install httpie,
Disk usage analyzer with terminal UI (like ncdu or dust),dust,https://github.com/bootandy/dust,11.8k,Excellent,A more intuitive version of du in rust,Disk Usage Analyzer,"\""I need a disk usage analyzer with a terminal UI to quickly find out what's taking up space on my server.\""",cargo install du-dust,
Fast file search tool replacing find (like fd),fd,https://github.com/sharkdp/fd,43.5k,Excellent,"A simple, fast and user-friendly alternative to 'find'",File Search,I need to quickly find all Python files in my project directory that contain the word 'test' in their filename,cargo install fd-find,
Modern grep replacement with speed (like ripgrep),ripgrep,https://github.com/BurntSushi/ripgrep,65.5k,Legendary,Fast grep replacement written in Rust with smart defaults,File Search,"\""I need to search through 10GB of log files for a specific error pattern\""",cargo install ripgrep,
Cat command replacement with syntax highlighting (like bat),bat,https://github.com/sharkdp/bat,59.4k,Legendary,"A cat(1) clone with wings, providing syntax highlighting and Git integration",CLI Tools,I need a better version of the cat command that shows syntax highlighting when I view source code files in my terminal,cargo install --locked bat,
Shell prompt customization framework (like starship),starship,https://github.com/starship/starship,58.5k,Legendary,"The minimal, blazing-fast, and infinitely customizable prompt for any shell",Shell Prompt,"\""I want a fast, customizable, and cross-shell prompt that shows relevant information like git status and language versions.\""",curl -sS https://starship.rs/install.sh | sh,
Docker container management TUI (like lazydocker),lazydocker,https://github.com/jesseduffield/lazydocker,51.4k,Legendary,The lazier way to manage everything docker,DevOps,"I need a simple terminal UI to view logs, restart containers, and manage my Docker compose stack without typing long commands",brew install jesseduffield/lazydocker/lazydocker,
Database GUI client that works with multiple databases (like DBeaver),dbeaver,https://github.com/dbeaver/dbeaver,50.7k,Legendary,"Free universal database tool and SQL client supporting multiple databases including MySQL, PostgreSQL, SQLite, and more",Database GUI,"\""I need a free, multi-platform database GUI client that can connect to PostgreSQL, MySQL, and SQLite databases all from one application.\""",brew install --cask dbeaver-community,
REST API mocking and testing server (like json-server),json-server,https://github.com/typicode/json-server,75.6k,Legendary,Get a full fake REST API with zero coding in less than 30 seconds,API Mocking,"\""I need to quickly spin up a fake REST API to test my frontend application without writing any backend code\""",npm install -g json-server,
Load testing and benchmarking HTTP tool (like k6 or wrk),wrk,https://github.com/wg/wrk,40.3k,Excellent,Modern HTTP benchmarking tool capable of generating significant load from a single multi-core CPU.,Load Testing,"\""I need to benchmark my new HTTP API server to see how many requests per second it can handle under heavy load.\""",brew install wrk,
Screenshot tool for code snippets (like carbon or silicon),carbon,https://github.com/carbon-app/carbon,36.0k,Excellent,Create and share beautiful images of your source code,Code Screenshot,"\""I need to create a beautiful, shareable image of my code snippet for a presentation or social media post.\""",npm install -g carbon-now-cli,
Markdown presentation tool for terminal slides (like slides or marp),slides,https://github.com/maaslalani/slides,11.5k,Excellent,Terminal based presentation tool that renders markdown files as slides directly in your terminal,Presentation,"\""I want to create and present a slide deck directly in my terminal using markdown, without needing a web browser or PowerPoint\""",go install github.com/maaslalani/slides@latest,
Email sending library for developers (like nodemailer or resend),gomail,https://github.com/go-gomail/gomail,4.7k,Solid,The best way to send emails in Go.,Email,"\""I need a reliable Go library to send automated notification emails with attachments to our users.\""",go get gopkg.in/gomail.v2,
PDF generation from HTML/CSS (like puppeteer or weasyprint),puppeteer,https://github.com/puppeteer/puppeteer,95.2k,Legendary,"JavaScript API for Chrome and Firefox that provides browser automation, web scraping, and HTML to PDF generation.",Browser Automation,I need to generate PDF reports from my web application's HTML and CSS,npm i puppeteer,
QR code generator library or CLI (like qrcode or qrencode),qrcodejs,https://github.com/davidshimjs/qrcodejs,14.2k,Excellent,Cross-browser QRCode generator for javascript,Utilities,"I need a simple, cross-browser JavaScript library to generate QR codes dynamically on my website without any dependencies.",npm install qrcodejs,
Clipboard manager for developers (like clippy or maccy),Maccy,https://github.com/p0deje/Maccy,20.5k,Excellent,Lightweight clipboard manager for macOS,Productivity,"\""I need a lightweight clipboard manager for my Mac to keep track of copied text and code snippets.\""",brew install maccy,
System monitoring dashboard for terminal (like btop or glances),btop,https://github.com/aristocratos/btop,33.0k,Excellent,A monitor of resources,System Monitoring,I need a system monitoring dashboard for terminal (like btop or glances),sudo snap install btop,
Network packet analysis tool (like wireshark CLI tshark),termshark,https://github.com/gcla/termshark,9.9k,Solid,"A terminal user-interface for tshark, inspired by Wireshark",Network Analysis,"\""I need a terminal-based network packet analysis tool like Wireshark to inspect pcaps on a remote server without X11\""",go install github.com/gcla/termshark/v2/cmd/termshark@v2.4.0,
SSL certificate management and auto-renewal (like certbot),acme.sh,https://github.com/acmesh-official/acme.sh,47.0k,Excellent,A pure Unix shell script ACME client for SSL / TLS certificate automation,DevOps,"\""I need a lightweight, dependency-free tool to automatically issue and renew Let's Encrypt SSL certificates on my Linux server.\""",curl https://get.acme.sh | sh -s email=my@example.com,
Reverse proxy and load balancer (like Caddy or Traefik),caddy,https://github.com/caddyserver/caddy,73.5k,Legendary,Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS,DevOps,I need a reverse proxy and load balancer that automatically handles HTTPS certificates for my web applications,sudo apt install caddy,
Log aggregation and viewing tool (like lnav or GoAccess),goaccess,https://github.com/allinurl/goaccess,20.6k,Excellent,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.,Log Analysis,"\""I need a real-time web log analyzer and interactive viewer that runs in a terminal or browser to monitor traffic and detect anomalies.\""",apt-get install goaccess,
Cron job monitoring and management (like healthchecks),healthchecks,https://github.com/healthchecks/healthchecks,10.1k,Excellent,"Open-source cron job and background task monitoring service, written in Python & Django",DevOps,I need a tool to monitor my scheduled cron jobs and send alerts if they fail to run on time.,git clone https://github.com/healthchecks/healthchecks.git,
File synchronization across devices (like Syncthing),syncthing,https://github.com/syncthing/syncthing,85.8k,Legendary,Open Source Continuous File Synchronization,File Synchronization,"I need to sync my documents and photos across my laptop, phone, and home server without relying on a cloud service like Dropbox.",sudo apt-get install syncthing,
Password manager CLI or self-hosted (like Bitwarden or pass),vaultwarden,https://github.com/dani-garcia/vaultwarden,63.0k,Legendary,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Password Manager,"\""I want to self-host a lightweight Bitwarden-compatible password manager on my Raspberry Pi\""",docker pull vaultwarden/server:latest,
Bookmark manager self-hosted (like Linkding or Shiori),linkwarden,https://github.com/linkwarden/linkwarden,18.8k,Excellent,"Self-hosted collaborative bookmark manager to collect, read, annotate, and fully preserve what matters, all in one place.",Bookmark Manager,"\""I need a self-hosted bookmark manager like Linkding or Shiori to save, organize, and archive web pages I want to read later.\""",docker run -d -p 3000:3000 ghcr.io/linkwarden/linkwarden:latest,
Note-taking app with markdown support (like Obsidian alternatives - Logseq or Joplin),joplin,https://github.com/laurent22/joplin,55.3k,Legendary,"Joplin - the privacy-focused note taking app with sync capabilities for Windows, macOS, Linux, Android and iOS.",Note-taking,"\""I need a privacy-focused note-taking app with markdown support that syncs across all my devices.\""",wget -O - https://raw.githubusercontent.com/laurent22/joplin/master/Joplin_install_and_update.sh | bash,
Kanban board self-hosted (like WeKan or Focalboard),focalboard,https://github.com/mattermost-community/focalboard,26.2k,Excellent,"Focalboard is an open source, self-hosted alternative to Trello, Notion, and Asana.",Project Management,"\""I need a self-hosted Kanban board alternative to Trello or Notion to manage my team's projects without relying on cloud services.\""",docker run -it -p 8000:8000 mattermost/focalboard,
Time tracking tool for developers (like Toggl alternatives - Traggo or ActivityWatch),activitywatch,https://github.com/ActivityWatch/activitywatch,18.0k,Excellent,"The best free and open-source automated time tracker. Cross-platform, extensible, privacy-focused.",Time Tracking,I need an automated time tracker that runs in the background to see how much time I spend on different apps and websites without manually starting and stopping timers.,make build,
Screen recording and GIF creation tool (like Gifski or Peek),ScreenToGif,https://github.com/NickeManarin/ScreenToGif,27.1k,Excellent,"ScreenToGif allows you to record a selected area of your screen, edit and save it as a gif or video.",Screen Recording,"\""I need a tool to record a small area of my screen and save it as an animated GIF to show a bug in my bug report.\""",winget install -e --id NickeManarin.ScreenToGif,
Font identification and management tool (like fonttools),fonttools,https://github.com/fonttools/fonttools,5.1k,Excellent,A library to manipulate font files from Python.,Font Management,I need to convert TrueType and OpenType fonts to and from an XML text format.,pip install fonttools,
Color palette generator or picker tool (like pastel CLI),pastel,https://github.com/sharkdp/pastel,6.4k,Solid,"A command-line tool to generate, analyze, convert and manipulate colors",Color Tools,I need a command-line tool to generate a set of visually distinct colors for my terminal theme,cargo install pastel,
Diagram as code tool (like Mermaid or D2),mermaid,https://github.com/mermaid-js/mermaid,88.9k,Legendary,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,Diagrams,I need to generate a flowchart or sequence diagram from a text description,npm install -g @mermaid-js/mermaid-cli,
API documentation generator (like Swagger/OpenAPI - Redoc),redoc,https://github.com/Redocly/redoc,25.8k,Excellent,"Open source tool for generating beautiful, responsive three-panel API reference documentation from OpenAPI definitions",API Documentation,"\""I need to generate a beautiful, responsive API reference documentation website from my OpenAPI/Swagger specification file\""",npx @redocly/cli build-docs openapi.yaml,
Regex testing and visualization tool (like regex101 alternatives),regexr,https://github.com/gskinner/regexr,10.3k,Excellent,"RegExr is a HTML/JS based tool for creating, testing, and learning about Regular Expressions",Development,"\""I need a visual tool to test and debug my regular expressions with real-time matching and syntax highlighting\""",npm install,
CSV data processing CLI tool (like xsv or csvkit),xsv,https://github.com/BurntSushi/xsv,10.7k,Excellent,A fast CSV command line toolkit written in Rust.,Data Processing,"I need to quickly filter, slice, and join multiple large CSV files from the command line without loading them into memory",cargo install xsv,
