value,built,penalty,effectiveness,component,route,hub,disposition,target,loc,engines,trpc_fetch,charts,inputs,tables,pdf,ai,routed,linked,in_live,integrity_flags,gaps,upgrade_to_9_10
9.2,9.6,0.4,9.2,MortgageKiller,/portal/mortgage-killer,Mortgage & Debt Elimination,PROMOTE — hub / top nav,/portal/mortgage-killer,3156,ibbotsonModel|monteCarloEngine|taxBracketEngine|timeMachineEngine,10,28,18,28,1,0,True,True,True,ts-nocheck,type checking disabled on the file ; invisible to the AI brain,register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
8.7,9.1,0.4,3.9,MultiGenWealthTransfer,/portal/multi-gen-wealth,"Estate, Trust & Legacy",PROMOTE — hub / top nav,/portal/estate-command,1243,taxBracketEngine,6,12,7,12,0,1,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
8.5,8.9,0.4,8.5,RothConversionSTR,/portal/roth-conversion,Tax Strategy,PROMOTE — hub / top nav,/portal/tax-command,2843,api|iulCarriers|monteCarloEngine|policyMechanics|taxBracketEngine,20,22,19,16,0,0,True,True,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
8.4,8.8,0.4,8.4,IULHistoricalPerformance,/portal/iul-historical,IUL & Policy Engineering,EMBED — named tab,/portal/time-machine-calculator,1201,ibbotsonModel|taxBracketEngine|timeMachineEngine,6,15,10,10,0,0,True,True,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
8.4,8.8,0.4,3.8,CharitableGivingOptimizer,/portal/charitable-giving,Tax Strategy,EMBED — named tab,/portal/tax-command,1054,taxBracketEngine,6,14,4,2,1,1,True,False,True,ts-nocheck,type checking disabled on the file ; thin input surface — cannot model a real scenario ; orphan URL — reachable only by typing it,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
8.0,8.4,0.4,3.6,BeneficiaryOptimization,/portal/beneficiary-optimization,"Estate, Trust & Legacy",EMBED — named tab,/portal/estate-command,1561,taxBracketEngine,6,15,14,9,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
8.0,8.4,0.4,3.6,BatchSlides,/portal/batch-slides,Advisor Practice & Sales Enablement,EMBED — named tab,/portal/practice-command,1481,slideThemes,7,19,15,12,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
8.0,8.4,0.4,3.6,IllustrationCompare,/portal/illustration-compare,IUL & Policy Engineering,EMBED — named tab,/portal/time-machine-calculator,1448,taxBracketEngine,11,14,12,12,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
8.0,8.4,0.4,3.6,MedicareIRMAA,/portal/medicare-irmaa,Tax Strategy,EMBED — named tab,/portal/tax-command,1410,taxBracketEngine,7,17,14,14,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
8.0,8.4,0.4,3.6,TaxBracketVisualizer,/portal/tax-brackets,Tax Strategy,EMBED — named tab,/portal/tax-command,1361,taxBracketEngine,6,11,14,12,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
8.0,8.4,0.4,3.6,TaxLossHarvestingScanner,/portal/tax-loss-harvesting,Tax Strategy,EMBED — named tab,/portal/tax-command,1323,taxBracketEngine,6,17,14,12,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
8.0,8.4,0.4,3.6,PredictiveAnalytics,/portal/predictive-analytics,Scenario Lab & Comparison,EMBED — named tab,/portal/scenario-lab,1251,taxBracketEngine,6,12,28,12,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
8.0,8.4,0.4,0.8,StrategyCompare,,Scenario Lab & Comparison,EMBED — named tab,/portal/scenario-lab,1238,iulCarriers|taxBracketEngine,7,13,12,6,0,0,False,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
8.0,8.4,0.4,3.6,IncomeGapAnalyzer,/portal/income-gap,Retirement Income & Drawdown,EMBED — named tab,/portal/ecological-drivers,1229,taxBracketEngine,7,10,15,8,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.9,8.3,0.4,3.6,MultiScenarioPlayZone,/portal/scenario-play,Scenario Lab & Comparison,EMBED — named tab,/portal/scenario-lab,1453,taxBracketEngine,6,12,6,12,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.9,8.3,0.4,3.6,MarketScenarioStressTest,/portal/market-stress-test,Investments & Portfolio,EMBED — named tab,/portal/portfolio-command,1378,taxBracketEngine,6,16,10,14,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.9,8.3,0.4,3.6,PortfolioDriftMonitor,/portal/portfolio-drift,Investments & Portfolio,EMBED — named tab,/portal/portfolio-command,1355,taxBracketEngine,7,21,9,10,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.8,8.2,0.4,3.5,ClientDetail,/portal/clients/:id,Mortgage & Debt Elimination,EMBED — named tab,/portal/mortgage-killer,1534,api,33,4,13,4,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.7,8.1,0.4,3.5,FeeTransparencyDashboard,/portal/fee-transparency,Investments & Portfolio,EMBED — named tab,/portal/portfolio-command,1478,,8,22,13,12,1,0,True,False,True,ts-nocheck,"type checking disabled on the file ; math inlined in the component — untestable, un-reusable, cannot be called by the AI brain ; invisible to the AI brain ; orphan URL — reachable only by typing it","extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
7.7,8.1,0.4,3.5,TaxOpportunityDetector,/portal/tax-opportunities,Tax Strategy,EMBED — named tab,/portal/tax-command,1331,taxBracketEngine,9,12,8,2,0,0,True,False,True,ts-nocheck,type checking disabled on the file ; no client-ready export ; invisible to the AI brain ; orphan URL — reachable only by typing it,"add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it ; surface as a tab/accordion inside its hub — keep the URL, drop the top-level nav claim"
