route,component,measured_value,defective,disposition,flags,plan_score,plan_verdict
/portal/client-report-gen,ClientReportGenerator,7.7,False,EMBED — named tab,,8.6,KEEP-L1
/portal/admin/health,AdminHealthDashboard,4.0,False,EMBED — reference card,,5.6,ENHANCE
/portal/cross-feature-intelligence,UnifiedCrossFeatureIntelligence,4.0,False,EMBED — reference card,,6.1,ENHANCE
/portal/entrainment-engine,EntrainmentEngine,3.9,False,EMBED — reference card,,1.0,CUT
/portal/living-risk-profile,LivingRiskProfile,3.8,False,EMBED — reference card,,6.5,ENHANCE
/portal/report-builder,ClientReportBuilder,3.5,False,EMBED — reference card,,5.9,ENHANCE
/portal/cascading-optimizer,CascadingMultiStrategyOptimizer,3.4,False,UPGRADE or fold into library,,7.1,KEEP-L1
/portal/risk-compliance,RiskComplianceDashboard,3.4,False,UPGRADE or fold into library,,7.2,KEEP-L1
/portal/longitudinal-risk,LongitudinalRiskOptimizer,3.1,False,UPGRADE or fold into library,,6.9,ENHANCE
/portal/ai-strategy-lab,AIStrategyLabPro,3.0,False,UPGRADE or fold into library,,8.0,KEEP-L1
/portal/home-affordability,HomeAffordabilityCalc,3.0,False,UPGRADE or fold into library,,8.7,KEEP-L1
/portal/data-bus-dashboard,UnifiedDataBusDashboard,2.9,False,UPGRADE or fold into library,fabricated-constant,6.1,ENHANCE
/portal/engine-chaining,EngineChainingPipeline,2.7,False,UPGRADE or fold into library,,5.9,ENHANCE
/portal/incentive-trust,IncentiveTrustDesigner,2.7,False,UPGRADE or fold into library,,8.1,KEEP-L1
/portal/predictive-arena,PredictiveInsightArena,2.7,False,UPGRADE or fold into library,,1.0,CUT
/portal/generational-wealth-sim,GenerationalWealthSimulator,2.6,False,UPGRADE or fold into library,,8.6,KEEP-L1
/portal/annuity-fee-detector,AnnuityHiddenFee,2.5,False,UPGRADE or fold into library,,8.4,KEEP-L1
/portal/captive-iul,CaptiveInsuranceIUL,2.5,False,UPGRADE or fold into library,,10.0,KEEP-L1
/portal/crt-wealth-replacement,CRTWealthReplacement,2.5,False,UPGRADE or fold into library,,7.0,KEEP-L1
/portal/deal-closer,AIDealCloser,2.5,False,UPGRADE or fold into library,,7.1,KEEP-L1
/portal/divorce-impact,DivorceFinancialImpact,2.5,False,UPGRADE or fold into library,,7.0,KEEP-L1
/portal/family-office,FamilyOfficeSimulator,2.5,False,UPGRADE or fold into library,,5.9,ENHANCE
/portal/generational-wealth,GenerationalWealthSim,2.5,False,UPGRADE or fold into library,,6.1,MERGE
/portal/iul-compliance-engine,IULComplianceEngine,2.5,False,UPGRADE or fold into library,,9.5,KEEP-L1
/portal/peer-intel,PeerBenchmarkingIntel,2.5,False,UPGRADE or fold into library,,5.9,ENHANCE
/portal/policy-replacement,PolicyReplacementAnalyzer,2.5,False,UPGRADE or fold into library,,6.4,ENHANCE
/portal/premium-financing-arbitrage,PremiumFinancingArbitrage,2.5,False,UPGRADE or fold into library,,10.0,KEEP-L1
/portal/retirement-gap,RetirementGapInflation,2.5,False,UPGRADE or fold into library,,7.5,KEEP-L1
/portal/ss-bridge,SocialSecurityBridge,2.5,False,UPGRADE or fold into library,,9.0,KEEP-L1
/portal/succession-valuation,SuccessionValuation,2.5,False,UPGRADE or fold into library,,9.4,KEEP-L1
/portal/wealth-accumulation,WealthAccumulationSimulator,2.5,False,UPGRADE or fold into library,,6.9,ENHANCE
/portal/sabbatical-planner,SabbaticalPlannerCalc,2.4,False,UPGRADE or fold into library,,6.5,ENHANCE
/portal/rsu-tax-planning,RSUTaxPlanning,2.3,False,UPGRADE or fold into library,,5.9,ENHANCE
/portal/tool-explorer,ToolExplorer,2.3,False,UPGRADE or fold into library,,4.0,ABSORB/CUT
/portal/qsbs,QualifiedSmallBusinessStock,2.2,False,UPGRADE or fold into library,,8.9,KEEP-L1
/portal/sequence-of-returns,SequenceOfReturnsRisk,2.2,False,UPGRADE or fold into library,,7.9,KEEP-L1
/portal/trust-comparison-matrix,TrustComparisonMatrix,2.2,False,UPGRADE or fold into library,,8.7,KEEP-L1
/portal/behavioral-bias,BehavioralBiasDetector,2.1,False,UPGRADE or fold into library,,5.9,ENHANCE
/portal/ce-credits,CECreditTracker,2.1,False,UPGRADE or fold into library,,5.9,ENHANCE
/portal/client-retention,ClientRetentionPredictor,2.1,False,UPGRADE or fold into library,,5.9,ENHANCE
/portal/commission-optimizer,CommissionOptimizer,2.1,False,UPGRADE or fold into library,,4.0,MERGE
/portal/compliance-doc-gen,ComplianceDocGenerator,2.1,False,UPGRADE or fold into library,,5.9,ENHANCE
/portal/direct-indexing,DirectIndexingOptimizer,2.1,False,UPGRADE or fold into library,,5.9,ENHANCE
/portal/disability-gap,DisabilityGapAnalysis,2.1,False,UPGRADE or fold into library,,8.6,KEEP-L1
/portal/estate-planning-sim,EstatePlanningSimulator,2.1,False,UPGRADE or fold into library,,8.1,KEEP-L1
/portal/family-tree,FamilyTreeFinancial,2.1,False,UPGRADE or fold into library,,6.4,ENHANCE
/portal/living-benefits,LivingBenefitsProbability,2.1,False,UPGRADE or fold into library,,10.0,KEEP-L1
/portal/multi-carrier-iul,MultiCarrierIULOptimizer,2.1,False,UPGRADE or fold into library,,9.5,KEEP-L1
/portal/multi-currency,MultiCurrencyWealth,2.1,False,UPGRADE or fold into library,,6.4,ENHANCE
/portal/onboarding-workflow,ClientOnboardingWorkflow,2.1,False,UPGRADE or fold into library,,5.9,ENHANCE
/portal/philanthropy,PhilanthropyImpactDashboard,2.1,False,UPGRADE or fold into library,,5.5,ENHANCE
/portal/prospect-qualification,ProspectQualification,2.1,False,UPGRADE or fold into library,,5.9,ENHANCE
/portal/roth-conversion-analyzer,RothConversionAnalyzer,2.1,False,UPGRADE or fold into library,,8.4,KEEP-L1
/portal/state-tax-migration,StateTaxMigration,2.1,False,UPGRADE or fold into library,,8.6,KEEP-L1
/portal/tax-code-simulator,TaxCodeChangeSimulator,2.1,False,UPGRADE or fold into library,,8.8,KEEP-L1
/portal/tax-optimizer,TaxStrategyOptimizer,2.1,False,UPGRADE or fold into library,,8.4,KEEP-L1
/portal/usage-analytics,UsageAnalyticsDashboard,2.1,False,UPGRADE or fold into library,,5.0,ENHANCE
/portal/fbar-fatca,FBARFATCACompliance,2.0,False,UPGRADE or fold into library,literal-chart-data,5.9,ENHANCE
/portal/organism-dashboard,OrganismDashboard,2.0,False,UPGRADE or fold into library,,6.4,ENHANCE
/portal/ltc-cost,LTCCostCalc,1.9,False,UPGRADE or fold into library,,8.1,KEEP-L1
/portal/projection-theater,WealthProjectionTheater,1.9,False,UPGRADE or fold into library,,6.3,ENHANCE
/portal/rental-property-roi,RentalPropertyROICalc,1.9,False,UPGRADE or fold into library,,6.5,ENHANCE
/portal/retirement-advantage,RetirementAdvantage,1.9,False,UPGRADE or fold into library,,7.6,KEEP-L1
/portal/severance-calculator,SeveranceCalc,1.9,False,UPGRADE or fold into library,,6.5,ENHANCE
