file,folder,lines,tests,commit,my_counterpart,relationship,action,priority,done_when
realEstateMogul.ts,russell-capital/shared,909,russell-capital/server/realEstateMogul.test.ts,482865c,shared/sequencePlanner.ts,complementary-deeper,"Port; replace planner internal amortisation with amortize(); feed analyzeProperty into Stage.after",P0,"Stage.after carries a real amortisation schedule; planner tests still pass"
sequenceStress.ts,russell-capital/shared,616,russell-capital/server/sequenceStress.test.ts,482865c,upgrade-branch-2-adverse-replay,already-built-what-I-proposed,"Port first; wire sequenceStressTest to accept a Plan",P0,"Every plan shows its break year under all four recorded shocks"
timeMachineCompliance.ts,russell-capital/shared,947,russell-capital/server/timeMachineCompliance.test.ts,482865c,none,pure-gain,"Port; gate every illustration surface behind it",P1,"No illustration renders without passing the compliance check"
nextBestAction.ts,russell-capital/shared,560,russell-capital/server/nextBestAction.test.ts,482865c,shared/genomeStrategyFit.ts,direct-competitor,"Reconcile per correlation section 5 Option A: fit ranks, lenses explain",P0,"One authoritative ranking; lens scores render as reasons"
smallBusinessLending/industryRisk.ts,russell-capital/shared,754,russell-capital/server/smallBusinessLending.test.ts,482865c,none,pure-gain,"Port as a new page group",P2,"Three pages live with full wiring"
smallBusinessLending/loanPricing.ts,russell-capital/shared,295,russell-capital/server/smallBusinessLending.test.ts,482865c,none,pure-gain,"Port as a new page group",P2,"Three pages live with full wiring"
smallBusinessLending/prospecting.ts,russell-capital/shared,373,russell-capital/server/smallBusinessLending.test.ts,482865c,none,pure-gain,"Port as a new page group",P2,"Three pages live with full wiring"
multiplierDecision.ts,russell-capital/shared,626,russell-capital/server/multiplierDecision.test.ts,5e3c1ec,shared/policyLoanMechanics.ts,complementary,"Port; supply the planner policy stage numbers",P1,"policy:borrow stage cites multiplierDecision output"
annualLoanStrategy.ts,russell-capital/shared,392,none,5e3c1ec,planner policy:borrow move,directly-relevant,"Port; planner calls it instead of its own arithmetic",P1,"Planner policy stage uses annualLoanStrategy"
scenarioEngine.ts,russell-capital/shared,402,russell-capital/server/scenarioEngine.test.ts,482865c,shared/sequenceArchetypes.ts,overlap,"Diff; keep one; port the other content as data",P1,"One scenario registry"
factFinder.ts,russell-capital/shared,321,none,482865c,shared/clientFactFinder.ts,overlap,"Reconcile into the single Situation object",P0,"Fact finder emits a Situation"
helocLenders.ts,russell-capital/shared,239,none,482865c,shared/thresholds.ts#heloc-cltv,complementary-plus-better-pattern,"Port; adopt UnsourcedQuoteError house-wide",P0,"An unsourced quote throws"
divorceStateRules.ts,russell-capital/shared,244,russell-capital/server/divorceStateRules.test.ts,482865c,shared/householdGenome.ts,complementary,"Port; wire into household genome",P1,"Pairing protocol consults state rules"
council/aiCouncil.ts,russell-capital/shared,443,russell-capital/server/council.test.ts,7ab685c,shared/compositeMind.ts + aiMemoryBank.ts,direct-overlap-theirs-stronger,"Adopt UnsourcedFindingError immediately; reconcile roster last",P0-for-error-P2-for-roster,"shared/sourcing.ts exists and every data router uses it"
council/nlpEngine.ts,russell-capital/shared,324,russell-capital/server/council.test.ts,7ab685c,shared/nlpBrain.ts,overlap,"Diff and merge; mine has 51 meta-programs and 32 patterns",P2,"One NLP module"
health/evidenceRetrieval.ts,russell-capital/shared,286,none,7ab685c,shared/provenance.ts,complementary-closes-the-loop,"Port; pair retrieval with FigureTrace",P1,"A claim retrieves its evidence and a figure traces its computation"
indexCreditingData.ts,russell-capital/shared,685,none,5e3c1ec,shared/indexCreditingData.ts (999 lines),diverged-duplicate,"Diff by content not size; keep one; delete the loser",P0,"One copy"
patentCatalog.ts,russell-capital/shared,195,russell-capital/server/patentCatalog.test.ts,482865c,shared/patentCatalog.ts (237 lines),diverged-duplicate,"Diff; keep systems version unless smaller holds a claim the larger lacks",P0,"One copy"
patentStatus.ts,russell-capital/shared,117,none,482865c,shared/patentStatus.ts (161 lines),diverged-duplicate,"Diff; keep one",P0,"One copy"
policyLoanMechanics.ts,russell-capital/shared,325,russell-capital/server/policyLoanMechanics.test.ts,482865c,shared/policyLoanMechanics.ts (405 lines),diverged-duplicate,"Diff; keep one",P0,"One copy"
timeMachine30.ts,russell-capital-systems/shared,666,russell-capital-systems/server/timeMachine30.test.ts,482865c,portal/time-machine,built-but-unwired,"Route it; catalogue it; add to a memory group",P0,"/portal/time-machine-30 live and scorecard wiring >= 8"
pacificHorizonEcv.ts,russell-capital-systems/shared,38,russell-capital-systems/server/pacificHorizonEcv.test.ts,482865c,none,small-addition,"Confirm wired or route",P2,"Reachable or removed"
showcase/multiplier-decision.html,russell-capital/showcase,327,none,5e3c1ec,none,outside-the-router,"Convert to a portal route or delete",P2,"Reachable or removed"
docs/PATENT360_AUDIT.md,russell-capital/docs,144,none,7ab685c,shared/patentStatus.ts,audit-document,"Read before filing; reconcile with the 57-claim count",P1,"Claim count agrees with patentCatalog"
