index,route,component,category,usefulnessScore,renderHealth,implementationLevel,recommendation,mergeTarget,confidence,sourceFile,rationale,instructions
1,/,Landing,public_home,8,at_risk,database_backed,Keep,,0.95,client/src/pages/Landing.tsx,"The landing page is database-backed, querying pricing plans and supporting the primary entry workflow. It lacks error state handling for its queries.",Add error boundary or explicit error states for the pricing plan queries to improve render health.
2,/pricing,Pricing,public_or_auth,9,healthy,internet_backed,Keep,,0.95,client/src/pages/Pricing.tsx,"The pricing page is fully functional, using tRPC to fetch live plans (`trpc.billing.plans.useQuery`) and process checkout/compliance disclosures (`trpc.billing.createCheckout.useMutation`). It handles real persistence and critical business workflow without simulated or hardcoded placeholder states.",Maintain the current functionality. No immediate changes are required as it successfully integrates with tRPC for plans and checkout.
3,/privacy,Privacy,public_or_auth,5,healthy,static_reference,Move to Secondary Information,,0.95,client/src/pages/Legal.tsx,"The page is a purely static text reference for the privacy policy, sharing the LegalShell component with Terms and Support. It lacks interactivity or backend integration, which is appropriate for legal aliases.",Move this page to Secondary Information since it provides static legal content. Keep it sharing the LegalShell component with Terms and Support.
4,/terms,Terms,public_or_auth,6,healthy,static_reference,Keep,,0.95,client/src/pages/Legal.tsx,"The page is a purely static reference rendering terms of service text within a LegalShell layout. It has no dynamic backend connections or user state. It shares the same source file with /privacy and /support, which is a legitimate architectural choice for grouping related static legal pages rather than accidental duplication.",Maintain the current static presentation structure. No immediate action is required unless the terms of service text needs to be updated.
5,/support,Support,public_or_auth,4,healthy,static_reference,Move to Secondary Information,,0.95,client/src/pages/Legal.tsx,"The page is a purely static text reference for support contact and basic instructions. It shares a source file with privacy and terms pages as a legitimate alias pattern, but provides no interactive functionality.",Move this static content to a secondary information section such as a help center modal or footer link.
6,/invite,AcceptInvite,public_or_auth,8,healthy,database_backed,Keep,,0.95,client/src/pages/AcceptInvite.tsx,"The page handles invitation token verification via a real tRPC query (`trpc.team.acceptInvite.useQuery`) and correctly handles loading, error, and success states. It successfully maps token data to user states but relies on a simulated timer for redirection.",The page is functional but lacks actual user authentication flow before redirection. Integrate the login/signup modal directly into the acceptance flow instead of a blind redirect to /portal.
7,/login,Login,public_or_auth,8,healthy,client_only,Keep,,0.95,client/src/pages/Login.tsx,"The page provides a functional UI for initiating the authentication workflow by parsing a return path and calling an external startLogin function. It acts as a critical gateway for the portal, despite being client-only in its component logic.",Ensure the startLogin function securely redirects to the OAuth provider and handles the returnPath correctly. Maintain the current design as it clearly communicates the secure identity workflow.
8,/register,Register,public_or_auth,6,healthy,client_only,Keep,,1.0,client/src/pages/ManagedAuthLegacy.tsx,This route shares the ManagedAuthLegacy component with other legacy auth paths as a legitimate auth alias tombstone. It provides clear guidance to the managed identity service and operates reliably on the client side.,Maintain this page to ensure users accessing legacy auth routes are properly guided to the new secure sign-in flow.
9,/forgot-password,ForgotPassword,public_or_auth,6,healthy,static_reference,Keep,,0.95,client/src/pages/ManagedAuthLegacy.tsx,"The route provides a static informational message directing users to a managed identity service for password recovery. It shares a single source component (`ManagedAuthLegacy`) with other legacy auth aliases like `/register` and `/reset-password`, which is a legitimate pattern for these related auth messages.",Keep the page as a necessary redirect message for legacy password recovery attempts. No immediate action required.
10,/reset-password,ManagedAuthLegacy,public_or_auth,6,healthy,static_reference,Keep,,0.95,client/src/pages/ManagedAuthLegacy.tsx,"This component serves as a static informational page for multiple deprecated authentication routes, including `/reset-password`. It correctly handles legal aliases by displaying route-specific copy and redirecting to the managed identity service. It has no backend integration.",Keep this page to ensure users attempting to access deprecated authentication routes are properly redirected to the new identity service. Ensure the `startLogin` function is correctly configured.
11,/trial,TrialLogin,public_or_auth,7,healthy,client_only,Keep,,0.95,client/src/pages/ManagedAuthLegacy.tsx,"The /trial route shares the ManagedAuthLegacy component with other legacy auth routes (/register, /forgot-password, /reset-password) as a legitimate alias to handle retired authentication paths. It is a static, client-only page that displays specific copy based on the route and redirects users to the secure managed identity service via the startLogin function.",Keep this legacy authentication redirect page as it correctly routes users to the managed identity service. No immediate action is required.
