id,priority,question,why_it_matters,where_the_answer_goes,status
Q01,P0,"For each of Point, Hometap, Unison, Unlock, Splitero: is a HELOC or other subordinate lien permitted AFTER the agreement, and what is the consent process?","The planner treats a line behind an equity share as unavailable; this is the covenant that prunes the legal space most.","shared/thresholds.ts#hei-no-further-encumbrance; shared/altCredit/lenders.ts",open
Q02,P0,"For each equity-share provider: are investment / non-owner-occupied properties eligible?","Marked 'not verifiable'. If any provider allows rentals, the mechanism stops being one-shot for portfolio owners.","shared/thresholds.ts#hei-investment-property; sequencePlanner refusal for equity:* on rentals",open
Q03,P0,"Do Kiavi and Griffin Funding publish 90-day (3-month) cash-out seasoning on their own pages, and under what conditions?","Currently evidence 5 (market report). A confirmed 90-day program shortens every BRRRR turn in the planner.","shared/thresholds.ts#dscr-seasoning variants",open
Q04,P0,"For the 10 DSCR lenders: seasoning, max cash-out LTV, minimum DSCR, min/max loan, prepayment structure, entity borrowers, STR treatment — each with URL and date.","Tightens every BRRRR and refinance stage from a mechanism-wide guess to a provider-specific figure.","shared/altCredit/lenders.ts (new Verified records); shared/thresholds.ts evidence scores",open
Q05,P0,"For CoreVest, Lima One, Visio, Kiavi, Roc Capital portfolio products: minimum property count, LTV, DSCR, and the exact partial-release clause terms.","The blanket-refinance stage assumes 70% LTV and 1.20 coverage over ten properties; partial release defaults to zero.","shared/thresholds.ts#financed-property-cap, #portfolio-partial-release",open
Q06,P0,"For the 8 carriers: direct vs non-direct recognition by product series, policy loan rate, preferred/wash loan provision and its start year, available loan value definition, current dividend scale.","Decides the policy:borrow stage's numbers and which carrier the dossier should route a household to.","shared/thresholds.ts#policy-loan-value; shared/mutualIulCarriers.ts; dossier policy-loan providers",open
Q07,P0,"For the 8 HELOC providers: interest calculation method (average daily balance required), per-draw and annual fees, freeze/reduction policy language, first-lien availability.","Velocity banking only works on average-daily-balance lines with no per-draw fee; the dossier cannot say which providers qualify.","shared/thresholds.ts#heloc-cltv; dossier velocity-heloc providers",open
Q08,P0,"For the 7 servicers and note buyers: will they service a wrap specifically; do they pay the underlying lender; seasoning required to buy a note; partial purchase availability; discount range by seasoning.","The wrap:carry stage assumes a 12-month seasoning before sale; the servicer choice decides whether the underlying is paid regardless.","shared/thresholds.ts#note-seasoning-for-sale; dossier seller-wrap providers",open
Q09,P0,"Contact, BBB profile, Google reviews, CFPB complaints, NMLS IDs, founding year, HQ, ownership, recent news for all 39 — from primary sources only.","Fills the Verified<T> records so the 'Verified record' link resolves for all 39 instead of 6.","shared/altCredit/lenders.ts",open
Q10,P1,"Which of the 101 pages with no genome relatedPath belong to which of the 24 strategies?","The predictive layer cannot route a household to a page no strategy names.","shared/genomeStrategies.ts relatedPaths",open
Q11,P1,"What is the headline figure on each of the 31 featured pages, and what are its inputs, sourced steps, rules, arithmetic and assumptions?","A FigureTrace per featured page; 3 exist, 112 pages have none.","shared/provenance.ts FIGURE_TRACES",open
Q12,P1,"What historical distributions should monteCarloEngine and ibbotsonModel draw from, with sources?","Both engines are untested and their distributions are not cited.","shared/monteCarloEngine.ts; shared/ibbotsonModel.ts; new tests",open
Q13,P1,"For each of the four recorded shocks, what were the actual rent, vacancy, cap rate and refinance-availability paths for residential rentals?","Adverse-scenario replay (upgrade branch 2) needs the paths, not just the equity drawdown.","shared/historicalShocks.ts; planner replay",open
Q14,P2,"Which account-aggregation provider (Plaid, MX, Yodlee) fits an advisor-facing planner with explicit consent, and what does it cost?","The largest functional gap against JP Morgan and Edward Jones; a product decision.","recommendations.md P3",open
Q15,P2,"What does a provisional patent filing for the 57 drafted claims cost and require, and which claims should be grouped?","One APPLICATIONS record makes every 'patent pending' surface true; nothing is filed today.","shared/patentStatus.ts APPLICATIONS",open
Q16,P2,"Can the Athene client statement (57% and 20% in one crediting period) be published as an anonymised, dated image with the product name, and what compliance review is required?","The owner wants the claim on the site; named-client material cannot enter the repo.","client illustration policy; marketing",open
